,PMID,Event,ref,HR,HR.l95,HR.u95,LOG.HR,LOG.HR.SE,included in T1
1,14531905,OS,N,3.79,NA,NA,1.332366019,0.63879038,no
2,14531905,OS,N,6.15,NA,NA,1.816452082,0.793083111,no
3,15201848,RFS,N,3.4,1.5,7.8,1.223775432,0.42057618,no
4,15201848,RFS,N,7.2,1.9,27.6,1.974081026,0.682643338,no
5,15201848,RFS,N,5.4,2.4,13.7,1.686398954,0.444369157,no
6,15201848,RFS,N,6.1,2.4,15.7,1.808288771,0.479130606,no
7,16281071,RFS,N,1.5,0.4,5,0.405465108,0.644318532,no
8,16281071,RFS,N,2.2,0.6,7.3,0.78845736,0.637423462,no
9,16281071,RFS,N,8.9,2.2,35,2.186051277,0.705839465,no
10,16877738,FFS,N,2.35,1.13,4.89,0.854415328,0.373718028,yes
11,16877738,FFS,N,2.09,1,4.39,0.737164066,0.377379905,yes
12,16877738,FFS,N,1.98,0.95,4.16,0.683096845,0.376736829,yes
13,16877738,FFS,N,2.21,1.18,4.14,0.792992516,0.320199324,yes
14,16877738,FFS,N,1.84,0.97,3.51,0.609765572,0.32808042,yes
15,16877738,FFS,N,1.79,0.94,3.41,0.58221562,0.328721351,yes
16,18727068,RFS,N,4.7,1.1,20.5,1.547562509,0.746202731,yes
17,18727068,OS,N,5.2,1.2,22.2,1.648658626,0.744329268,yes
18,19042917,OS,N,1.6,NA,NA,0.470003629,0.27722323,no
19,19042917,RFS,N,1.9,NA,NA,0.641853886,0.32748249,no
20,19042917,DFS,N,1.9,NA,NA,0.641853886,0.295772882,no
21,19042917,OS,N,1.7,NA,NA,0.530628251,0.3320176,no
22,19042917,RFS,N,2,NA,NA,0.693147181,0.353653019,no
23,19042917,DFS,N,1.9,NA,NA,0.641853886,0.32748249,no
24,19042917,OS,N,1.7,NA,NA,0.530628251,0.350457427,no
25,19042917,RFS,N,1.6,NA,NA,0.470003629,0.318475733,no
26,19042917,DFS,N,1.9,NA,NA,0.641853886,0.32748249,no
27,19752335,RFS,P,0.54,0.36,0.83,-0.616186139,0.213092263,no
28,19752335,RFS,P,0.42,0.25,0.69,-0.867500568,0.258987418,no
29,19752335,RFS,P,0.23,0.09,0.63,-1.46967597,0.49640565,no
30,20508610,CCR,N,6.1,1.4,26.4,1.808288771,0.749207085,no
31,20548095,OS,N,2.38,1.03,5.45,0.867100488,2.227092292,no
32,20548095,OS,N,0.96,0.43,1.98,-0.040821995,0.389557886,no
33,20548095,RFS,N,2.68,1.27,5.67,0.985816795,0.381676586,no
34,20548095,RFS,N,1.31,0.65,2.66,0.270027137,0.359466592,no
35,20668473,RFS,N,5.4,2.1,13.8,1.686398954,0.480288584,no
36,20668473,OS,N,3.3,1.2,9.3,1.193922468,0.522370623,no
37,20693296,DFS,P,0.264,0.114,0.614,-1.331806176,0.429539918,no
38,20693296,Relapse,P,0.726,0.554,0.952,-0.320205264,0.138112334,no
39,20693296,OS,P,0.308,0.092,1.035,-1.177655496,0.617440849,no
40,21415971,OS,N,4.65,1.19,30.67,1.53686722,0.828911141,no
41,21415971,RFS,N,14.03,2.65,260.24,2.641197894,1.17016445,no
42,21415971,OS,N,2.97,0.56,22.75,1.088561953,0.944995827,no
43,21415971,RFS,N,13.18,2.05,263.13,2.578700529,1.238471534,no
44,21555694,RFS,N,2,1.4,2.9,0.693147181,0.185775128,no
45,21555694,OS,N,1.8,1.2,2.7,0.587786665,0.206869953,no
46,21967832,LFS,N,1.92,0.67,5.61,0.652325186,0.542099053,no
47,21967832,LFS,N,3.07,0.94,9.99,1.121677562,0.602923468,no
48,21967832,LFS,N,1.49,0.41,5.47,0.39877612,0.660937943,no
49,21967832,LFS,N,8.61,1.5,49.53,2.152924318,0.892120775,no
50,22471741,RFS,N,1.3,NA,NA,0.262364264,0.079733212,yes
51,22471741,RFS,N,1.2,NA,NA,0.182321557,0.055408016,yes
52,22471741,RFS,N,2.6,NA,NA,0.955511445,0.347739253,yes
53,22471741,RFS,N,4.5,NA,NA,1.504077397,0.457093201,yes
54,22471741,RFS,N,3.5,NA,NA,1.252762968,0.380718065,yes
55,22471741,OS,N,3.9,NA,NA,1.360976553,0.472863125,no
56,22649108,OS,N,2.46,1.35,4.47,0.90016135,0.305429545,no
57,22649108,OS,N,1.87,0.97,3.58,0.625938431,0.333117859,no
58,22649108,RFS,N,2.46,1.52,3.97,0.90016135,0.244912184,no
59,22649108,RFS,N,2.38,1.43,3.97,0.867100488,0.260482564,no
60,22875911,OS,N,40.18,5.8,278.3,3.693369359,0.98745963,yes
61,22965955,EFS,N,2.12,1.16,3.86,0.751416089,0.306695709,no
62,22965955,EFS,N,2.16,1.18,3.95,0.770108222,0.308214577,no
63,23321257,Relapse,P,0.31,0.17,0.57,-1.171182982,0.308632123,yes
64,23321257,Relapse,P,0.24,0.1,0.57,-1.427116356,0.443996473,yes
65,23321257,Relapse,P,0.4,0.18,0.91,-0.916290732,0.413389732,yes
66,23321257,OS,P,0.51,0.2,1.31,-0.673344553,0.47945537,yes
67,23321257,OS,P,0.31,0.09,1.03,-1.171182982,0.62181235,yes
68,23321257,OS,P,0.92,0.21,4.13,-0.083381609,0.759929887,yes
69,23656730,OS,N,1.95,0.35,10.74,0.667829373,0.873417657,yes
70,23656730,OS,N,5.81,1.16,29.02,1.759580571,0.821317664,yes
71,23656730,DFS,N,2.97,0.61,14.59,1.088561953,0.809855277,yes
72,23656730,DFS,N,9.58,2.04,45.01,2.259677592,0.789269102,yes
73,24413067,OS,N,1.96,NA,NA,0.672944473,0.308197218,no
74,24413067,OS,N,2.11,NA,NA,0.746687947,0.367189845,no
75,24413067,EFS,N,2.58,NA,NA,0.947789399,0.288035769,no
76,24413067,EFS,N,2.52,NA,NA,0.924258902,0.280884787,no
77,24413067,OS,N,2.26,NA,NA,0.815364813,0.361239754,no
78,24413067,OS,N,2.85,NA,NA,1.047318994,0.421665167,no
79,24554303,OS,N,4.1,1.2,14.3,1.410986974,0.632127036,no
80,24554303,DFS,N,5,1.4,17.9,1.609437912,0.650083795,no
81,24554303,OS,N,2.6,1.1,6.5,0.955511445,0.453186734,no
82,24554303,DFS,N,3.2,1.3,8.9,1.16315081,0.490736483,no
83,24816240,RFS,N,2.81,1.08,7.29,1.033184483,0.48712819,no
84,24816240,RFS,N,4.55,1.73,11.97,1.515127233,0.493439314,no
85,24816240,RFS,N,4.26,1.93,9.45,1.44926916,0.40522825,no
86,24816240,RFS,N,5.09,2.39,10.82,1.627277831,0.385230334,no
87,24816240,RFS,N,2.72,1.1,6.69,1.00063188,0.460536657,no
88,24816240,RFS,N,7.58,2.31,24.86,2.0255132,0.606125653,no
89,24816240,OS,N,0.93,0.11,7.83,-0.072570693,1.088070771,no
90,24816240,OS,N,3.01,0.48,18.95,1.101940079,0.937697221,no
91,24816240,OS,N,2.4,0.84,6.87,0.875468737,0.536101401,no
92,24816240,OS,N,3.02,0.89,10.3,1.105256831,0.624662682,no
93,24816240,OS,N,5.06,1.46,17.49,1.621366483,0.633467565,no
94,24816240,OS,N,8.8,1.73,44.78,2.174751721,0.830010256,no
95,24844781,RFS,P,0.158,0.049,0.511,-1.845160246,0.598099309,no
96,24844781,RFS,P,0.026,0.003,0.211,-3.649658741,1.085011695,no
97,24912430,RFS,N,1.71,1.15,2.54,0.536493371,0.202143403,no
98,24912430,RFS,N,1.23,0.92,1.64,0.207014169,0.147468839,no
99,24912430,RFS,N,1.65,1.06,2.55,0.500775288,0.223934809,no
100,24912430,RFS,N,1.37,0.9,2.1,0.31481074,0.216147413,no
101,24912430,OS,N,1.29,0.81,2.05,0.254642218,0.236877761,no
102,24912430,OS,N,1.13,0.81,1.59,0.122217633,0.172054859,no
103,24912430,OS,N,1.17,0.7,1.97,0.157003749,0.263956247,no
104,24912430,OS,N,1.42,0.87,2.31,0.350656872,0.24910959,no
105,24957411,OS,N,0.62,0.33,1.16,-0.478035801,0.320684344,no
106,24957411,DFS,N,0.82,0.45,1.49,-0.198450939,0.305429545,no
107,25026287,OS,N,3.23,1.64,6.37,1.172482137,0.346148783,no
108,25026287,OS,N,1.86,0.84,4.12,0.620576488,0.405664936,no
109,25026287,OS,N,6.92,2.81,17.07,1.93441577,0.460239299,no
110,25026287,OS,N,4.64,1.38,15.62,1.534714366,0.618997103,no
111,25111512,OS,N,5.995,0.6,60.8,1.790925788,1.178167197,no
112,25111512,OS,N,18.034,2.1,153.6,2.892258865,1.095003693,no
113,25111512,OS,N,58.31,6.6,515,4.065773605,1.111504401,no
114,25111512,EFS,N,5.251,0.5,53.2,1.658418535,1.190613668,no
115,25111512,EFS,N,16.63,1.9,141.3,2.811208293,1.099242705,no
116,25111512,EFS,N,67.153,7.7,584.9,4.206973598,1.104648103,no
117,25111512,Non-Relapse mortality,N,4.946,0.5,47.5,1.598579169,1.161703289,no
118,25111512,Non-Relapse mortality,N,5.671,0.6,50.8,1.735365469,1.132327035,no
119,25111512,Non-Relapse mortality,N,6.71,0.7,60.3,1.903598951,1.136736492,no
120,25732155,OS,N,2.51,1.73,3.63,0.920282753,0.18905899,no
121,25732155,RFS,N,2.79,1.92,4.04,1.026041596,0.189775384,no
122,25869029,DFS,N,2.305,1.383,3.839,0.835080676,0.260448179,no
123,25869029,OS,N,1.834,1.061,3.169,0.606499374,0.27913373,no
124,25890432,DFS,P,0.37,0.19,0.71,-0.994252273,0.336285943,no
125,25890432,OS,P,0.34,0.17,0.7,-1.078809661,0.361041301,no
126,25890432,DFS,P,0.48,0.31,0.75,-0.733969175,0.225382885,no
127,25890432,OS,P,0.41,0.2,0.88,-0.891598119,0.377960342,no
