,PMID,MRD_group,Event,time (in months),survival rate,std.err
1,11535507,0,OS,36,0.29,0.067642853
2,11535507,0,OS,36,0.62,0.060673305
3,11535507,1,OS,36,0.9,0.072760688
4,14531905,1,OS,24,0.721,0.115
5,14531905,1,OS,24,0.3,0.177
6,16769587,1,RFS,60,0.9,0.090453403
7,16769587,0,RFS,60,0.51,0.088370668
8,16769587,1,RFS,60,0.85,0.095431352
9,16769587,0,RFS,60,0.42,0.119705521
10,18553224,1,RFS,24,0.62,0.134621978
11,18553224,0,RFS,24,0.86,0.13114877
12,20625124,1,RFS,24,0.79,0.086138412
13,20625124,0,RFS,24,0.54,0.099888125
14,20668473,1,RFS,36,0.85,0.08
15,20668473,0,RFS,36,0.44,0.08
16,20668473,1,OS,36,0.95,0.05
17,20668473,0,OS,36,0.58,0.08
18,20668473,1,RFS,36,0.73,0.13
19,20668473,0,RFS,36,0.62,0.14
20,20668473,1,RFS,36,0.62,0.14
21,20668473,0,RFS,36,0.5,0.14
22,21415971,0,OS,24,0.49,0.111781036
23,21415971,1,OS,24,0.846,0.100109171
24,21415971,0,RFS,24,0.137,0.076886605
25,21415971,1,RFS,24,0.917,0.076515961
26,21555683,1,OS,48,0.8,0.07
27,21555683,0,OS,48,0.77,0.07
28,22649108,0,OS,36,0.56,0.08
29,22649108,1,OS,36,0.8,0.04
30,22649108,0,RFS,36,0.3,0.075
31,22649108,1,RFS,36,0.65,0.045
32,22965955,0,EFS,60,0.293,0.082
33,22965955,0,EFS,60,0.618,0.14
34,22965955,1,EFS,60,0.734,0.061
35,22965955,0,EFS,60,0.176,0.16
36,22965955,0,EFS,60,0.446,0.136
37,22965955,1,EFS,60,0.707,0.056
38,22965955,0,EFS,60,0.714,0.382
39,22965955,0,EFS,60,0.846,0.192
40,22965955,1,EFS,60,0.857,0.084
41,22965955,0,EFS,60,0.818,0.156
42,22965955,1,EFS,60,0.823,0.087
43,23199895,1,RFS,60,0.756,0.106
44,23199895,0,RFS,60,0.9,0.096
45,23321257,1,RFS,36,0.73,0.047016619
46,23321257,0,RFS,36,0.44,0.075212833
47,23321257,1,OS,36,0.9,0.025750899
48,23321257,0,OS,36,0.71,0.092484389
49,23613269,1,RFS,36,0.4,0.219089023
50,23613269,0,RFS,36,0.85,0.079843597
51,23613269,1,OS,36,0.4,0.219089023
52,23613269,0,OS,36,0.814,0.087006896
53,23613269,1,RFS,36,0.955,0.043225898
54,23613269,0,RFS,36,0.444,0.165618034
55,23613269,1,OS,36,0.957,0.042298628
56,23613269,0,OS,36,0.25,0.144337567
57,23613269,0,RFS,36,0.375,0.171163299
58,23613269,0,OS,36,0.2,0.141421356
59,23613269,0,RFS,12,0.4,0.219089023
60,23646898,1,DFS,60,0.75,0.05
61,23646898,0,DFS,60,0.49,0.1
62,23646898,1,OS,60,0.74,0.05
63,23646898,0,OS,60,0.54,0.09
64,23646898,1,DFS,60,0.71,0.06
65,23646898,0,DFS,60,0.27,0.16
66,23646898,1,OS,60,0.83,0.05
67,23646898,0,OS,60,0.27,0.16
68,23646898,1,DFS,60,0.71,0.06
69,23646898,0,DFS,60,0.33,0.14
70,23646898,1,OS,60,0.85,0.05
71,23646898,0,OS,60,0.39,0.15
72,23891447,1,DFS,36,0.795,0.121720619
73,23891447,0,DFS,36,0.273,0.092893347
74,24062400,1,RFS,48,0.52,0.042073896
75,24062400,0,RFS,48,0.23,0.064935866
76,24062400,1,OS,48,0.07,0.021487255
77,24062400,0,OS,48,0.05,0.033629635
78,24413067,1,EFS,36,0.474,0.04132431
79,24413067,0,EFS,36,0.312,0.038609153
80,24413067,1,OS,36,0.761,0.035295135
81,24413067,0,OS,36,0.486,0.04165033
82,24844781,0,RFS,24,0.1197,0.015634444
83,24844781,1,RFS,24,0.6815,0.135487742
84,24844781,0,RFS,24,0.1111,0.013361544
85,24844781,1,RFS,24,0.588,0.132486882
86,24844781,0,RFS,24,0.1,0.01214682
87,24844781,1,RFS,24,0.6316,0.134708236
88,24844781,0,RFS,24,0.1429,0.016727909
89,24844781,1,RFS,24,0.5026,0.127016914
90,24844781,0,RFS,24,0.1111,0.013361544
91,24844781,1,RFS,24,0.5664,0.135957
92,24844781,0,RFS,24,0.088,0.01111334
93,24844781,1,RFS,24,0.7714,0.144206218
94,24844781,0,RFS,24,0.4596,0.128782748
